cluster	merged_celltypes	n	cluster_n
G1	Hep.Zone3	18099	18099
G10	Endothelials_(LSEC)	5437	5437
G11	Cholangiocytes	4645	4645
G12	Hep.Proliferating	3420	3420
G13	Plasma.cells.1_(Kappa)	3377	3377
G14	Plasma.cells.2_(Lambda)	2528	2528
G15	Monocytes.Neutrophils	2272	2272
G16	Undefined	1214	1214
G2	Hepatocytes.cont	5309	16590
G2	CD4_th17	2642	16590
G2	CD4_treg	2304	16590
G2	CD8_tem.1	2077	16590
G2	CD4_tem	1861	16590
G2	CD8_cytotoxic.1	996	16590
G2	CD4_th2	586	16590
G2	CD8_cytotoxic.2	494	16590
G2	CD8_tem.2	321	16590
G3	Hep.Zone1.2	14716	14716
G4	Hep.Zone1	12063	12063
G5	Macrophages_(Kupffer)	8067	8067
G6	Fibroblasts.1/Activated	7699	7699
G7	Macrophages_(SAM)	7557	7557
G8	Hep.IFNg	7370	7370
G9	Fibroblasts.2/Quiescent	5726	5726
