cluster	mean_stress	mean_apoptosis_hallmark	mean_apoptosis_core	mean_fas_fasl	mean_upr	mean_oxidative	mean_p53	mean_identity	median_nCount	median_nFeature	n_cells	stress_rank	apoptosis_rank	identity_loss_rank	joint_rank_score
G6	0.142253392865665	0.137536961835449	0.00552859019735066	-0.0239531161081449	-0.0756296558053092	-0.0573967164942683	-0.014127078210114	-0.454820811931806	216	159	7699	1	1	1	3
G11	0.0921392474225601	0.0642868736584499	0.0255786873554758	-0.000634900894219172	0.00418090345786428	0.0021924374731289	0.0170386004405377	0.564376325337741	815	592	4645	2	8	9	19
G15	0.0530920234519357	0.0339735798293083	0.0173333853016445	-0.0272261219840551	-0.0347490041954719	0.00321088668307868	-0.0432161737007623	-0.321410986497722	68	48	2272	4	14	2	20
G5	-0.00172746554112179	0.0745548066769592	-0.0116919328256897	0.00174079643539926	-0.0323493631295257	0.122489510710041	-0.0338960778576344	0.376988583071858	915	635	8067	10	4	6	20
G7	0.0320520242025617	0.0464597226643984	0.0173119341457432	0.0148449908902805	-0.0488660961716792	0.0489508327608879	-0.0259142420369423	-8.46426202654782e-05	572	419	7557	5	12	4	21
G12	0.0297506484224559	0.0677981372013897	-0.0108492112486121	0.0231891238157102	-0.000498688839793009	0.0735471480965141	0.0344130644522279	1.22344329210562	1172.5	779	3420	6	5	12	23
G9	-0.00587920854112868	0.121113397293412	-0.0341620612287317	-0.0195113194360468	-0.0225748843504059	0.0838538927115479	-0.0314405455981348	0.767460921668004	1005	694	5726	11	2	10	23
G10	0.0296094722695305	0.0587074665226702	0.00080025568307432	-0.00619189644444389	-0.053300228994403	0.0225077243943619	-0.0204801885061152	0.511402494390329	779	566	5437	7	9	8	24
G16	0.0738740361442221	0.0481590381101558	0.0192556289237691	-0.0067316751088546	-0.00713551970199026	0.0586176297466614	0.0918506991912005	1.15719314965565	1362	902.5	1214	3	11	11	25
G14	0.00214016918750088	0.0275362309326068	0.0454846480642971	-0.028552293585811	0.151258933767779	-0.0745795179307405	-0.110743982533326	-0.122887929993208	261	147	2528	9	15	3	27
G2	0.0102538332151116	0.0341286956257057	0.0148811495161602	0.00484360933799699	-0.0465973962911871	-0.00896163276475997	-0.00590338939529962	0.50826435799166	804	578	16590	8	13	7	28
G8	-0.00676844913075002	0.0795067818571424	-0.0185465731388272	0.0135031716766415	0.0221783900317214	0.149616153692059	0.00878806401768215	1.56753924322384	1895	1114.5	7370	12	3	14	29
G13	-0.0112467801219195	0.011029682965197	0.0209517057295279	-0.0103632933438171	0.15754009831342	-0.106499470370973	-0.112808369562459	0.174317734808224	360	200	3377	13	16	5	34
G1	-0.0343336935197465	0.0674786128010568	-0.0416897460869046	0.00870845364136467	0.0421058412465264	0.100364234111567	-0.00059646137835558	1.97488461883406	2284	1258	18099	14	6	16	36
G3	-0.039457098468721	0.0507851780249824	-0.0104484585447264	0.00962378888002746	0.0257343150105829	0.0307335699640777	0.0275164857387341	1.50106376775002	1675.5	1072	14716	15	10	13	38
G4	-0.0420997319907617	0.0671447580933401	-0.0405141032802181	0.00717041260155039	0.0439783073609538	0.0951274825256258	0.0217129237580618	1.89872821941602	2366	1251	12063	16	7	15	38
