cluster	dominant_celltype	dominant_pct	n_cells	median_nCount	median_nFeature	Stress_IEG_HSP__mean	Stress_IEG_HSP__median	Apoptosis_Hallmark__mean	Apoptosis_Hallmark__median	Apoptosis_Core_Mechanistic__mean	Apoptosis_Core_Mechanistic__median	Fas_FasL_AIH__mean	Fas_FasL_AIH__median	UPR_Core__mean	UPR_Core__median	Oxidative_Stress_Core__mean	Oxidative_Stress_Core__median	P53_Senescence_Core__mean	P53_Senescence_Core__median	Hepatocyte_Identity__mean	Hepatocyte_Identity__median
G6	Fibroblasts.1/Activated	100	7699	216	159	0.142253392865665	0.100840430356182	0.137536961835449	0.131555864944038	0.00552859019735066	-0.0428803829161676	-0.0239531161081449	-0.0939725834178071	-0.0756296558053092	-0.0880418425572409	-0.0573967164942683	-0.100587102515815	-0.014127078210114	-0.0826315772636442	-0.454820811931806	-0.45463258990379
G11	Cholangiocytes	100	4645	815	592	0.0921392474225601	0.0664576438331642	0.0642868736584499	0.060664832508487	0.0255786873554758	0.00272641437749174	-0.000634900894219172	-0.10707024949922	0.00418090345786428	-0.05298386663094	0.0021924374731289	-0.0227147997989082	0.0170386004405377	-0.0754977550500907	0.564376325337741	0.294896624472948
G16	Undefined	100	1214	1362	902.5	0.0738740361442221	0.0472944466582612	0.0481590381101558	0.0465044785053381	0.0192556289237691	-0.0032278411500431	-0.0067316751088546	-0.0661700980133408	-0.00713551970199026	-0.0490172217349978	0.0586176297466614	0.0214712847321269	0.0918506991912005	0.0183638039866258	1.15719314965565	1.39713330354141
G15	Monocytes.Neutrophils	100	2272	68	48	0.0530920234519357	-0.0384188216431647	0.0339735798293083	0.0272603989348775	0.0173333853016445	-0.028749937721921	-0.0272261219840551	-0.0246148284234346	-0.0347490041954719	-0.0313618513488148	0.00321088668307868	-0.0758139744306538	-0.0432161737007623	-0.038011600638174	-0.321410986497722	-0.323364929709944
G7	Macrophages_(SAM)	100	7557	572	419	0.0320520242025617	0.00933447556664235	0.0464597226643984	0.0417526408245838	0.0173119341457432	-0.0106875727260928	0.0148449908902805	-0.105034557357841	-0.0488660961716792	-0.0969007498453624	0.0489508327608879	0.025916394620443	-0.0259142420369423	-0.110277692146323	-8.46426202654782e-05	-0.28004399229655
G12	Hep.Proliferating	100	3420	1172.5	779	0.0297506484224559	0.0088103039386168	0.0677981372013897	0.0638246940495411	-0.0108492112486121	-0.0307924840266352	0.0231891238157102	-0.0757152109040533	-0.000498688839793009	-0.0511399923547308	0.0735471480965141	0.0632739220567725	0.0344130644522279	-0.0543983387359037	1.22344329210562	1.54784091330551
G10	Endothelials_(LSEC)	100	5437	779	566	0.0296094722695305	-0.00293824636268386	0.0587074665226702	0.0546967644928876	0.00080025568307432	-0.0198899435500081	-0.00619189644444389	-0.112226034949719	-0.053300228994403	-0.0935667861765504	0.0225077243943619	0.00338672052346675	-0.0204801885061152	-0.100203317935724	0.511402494390329	0.475227794004532
G2	Hepatocytes.cont	32	16590	804	578	0.0102538332151116	-0.011730518481132	0.0341286956257057	0.0299062172832092	0.0148811495161602	-0.00762430579440408	0.00484360933799699	-0.110068908473965	-0.0465973962911871	-0.0926677593935381	-0.00896163276475997	-0.0365762088681688	-0.00590338939529962	-0.0949772747748896	0.50826435799166	0.381010964747411
G14	Plasma.cells.2_(Lambda)	100	2528	261	147	0.00214016918750088	-0.044902761160429	0.0275362309326068	0.0225321772843307	0.0454846480642971	-0.0153025177119711	-0.028552293585811	-0.0699309907123682	0.151258933767779	0	-0.0745795179307405	-0.100631783730735	-0.110743982533326	-0.10309749741245	-0.122887929993208	-0.223820867569402
G5	Macrophages_(Kupffer)	100	8067	915	635	-0.00172746554112179	-0.0245106562340809	0.0745548066769592	0.072344356526043	-0.0116919328256897	-0.034539862109736	0.00174079643539926	-0.108727970825783	-0.0323493631295257	-0.0759757771430435	0.122489510710041	0.110569672390897	-0.0338960778576344	-0.108615247560416	0.376988583071858	0.321849571509115
